SSTTB1
5.0,0,16
14.0,1,3
25.0,1,2
27.0,0,23
29.8,1,1
30.0,0,38
32.0,0,24
49.5,1,5
74.1,2,71
90.0,0,23
95.0,0,24
95.3,1,6
105.0,0,26
115.0,1,2
120.0,0,21
120.2,1,1
133.5,1,7
134.0,0,39
134.2,0,51
134.4,0,35
134.6,0,15
134.8,0,2
135.0,1,17
135.2,1,8
100000000.0,0,0
SSTTB2
0.2,1,16
0.4,2,30
5.4,2,9
8.9,2,11
9.1,1,10
9.3,0,1
9.7,1,13
9.9,1,9
100000000.0,0,0
SSTTB3
0.2,2,48
0.5,2,24
0.7,1,15
0.8,0,33
0.9,2,31
1.0,2,20
1.1,2,19
1.4,2,33
1.5,0,28
1.6,0,48
1.8,2,49
3.0,2,12
6.2,2,60
6.4,2,88
6.7,2,25
6.9,2,59
7.7,2,6
11.1,0,17
11.3,2,104
27.6,0,107
30.7,2,23
36.4,0,52
36.6,0,66
61.4,0,22
125.0,2,30
130.0,2,9
191.4,0,4
197.6,0,23
202.6,0,24
212.7,2,90
225.0,2,30
230.0,2,9
320.0,2,7
325.4,0,23
330.4,0,24
330.8,3,54
331.0,2,8
331.2,0,39
331.6,2,71
331.6,2,3
332.0,2,42
100000000.0,0,0
SSTTB4
0.0,2,18
0.1,2,66
0.2,3,83
0.3,3,13
0.5,3,10
0.6,3,23
0.7,3,56
0.8,2,5
1.0,3,9
1.2,0,31
1.3,0,74
1.6,0,9
1.8,0,11
2.2,3,59
3.8,3,103
4.0,3,11
4.2,3,27
5.8,3,68
10.3,3,55
12.8,3,57
16.1,3,88
16.3,3,73
18.9,0,17
22.4,0,23
27.4,0,24
31.8,3,48
36.8,3,49
105.3,3,91
100000000.0,0,0
SSTTB5
0.1,3,12
0.2,3,98
0.3,3,42
0.4,3,101
0.6,0,43
0.7,3,69
1.0,3,82
1.1,3,104
1.3,3,79
1.5,3,24
3.3,0,12
3.5,0,75
3.9,3,29
10.0,0,18
10.2,0,53
22.2,3,47
59.0,3,111
59.1,3,107
59.6,0,23
60.7,3,83
61.0,3,112
61.1,3,108
64.6,0,24
88.0,3,43
88.1,3,102
88.3,0,46
102.5,0,19
187.5,0,3
500.0,3,8
602.6,3,25
2450.3,0,23
2455.5,0,24
2600.0,3,28
2648.0,3,29
5000.0,3,7
5400.0,3,28
5448.0,3,29
10248.0,3,28
10248.2,3,58
10258.0,3,22
10980.0,3,29
100000000.0,0,0
SSTTB6
0.2,3,42
0.3,3,101
0.5,0,43
0.8,3,84
1.0,3,95
2.2,3,39
